"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Update Books API","1","0","Update book - wrong pagecount","0"
"0","","0","Update Books API","1","0","Update book - wrong method","0"
"0","","1","Add Books API - Parametrized test example","3","0","Add new book - parametrized test example","0"
"0","","0","Update Books API","1","0","Update book - incorrect id format","0"
"0","","0","Get Books API","1","0","Get book by ID - sql injection","0"
"0","","1","Add Books API","0","0","Add new book - negative pagecount","0"
"0","","0","Delete Books API","1","0","Delete book - incorrect id format","0"
"0","","1","Add Books API","0","0","Add new book - empty payload","0"
"0","","0","Add Books API","1","0","Add new book - incorrect id format","0"
"0","","1","Update Books API","0","0","Add new book - lacking title parameter in body","0"
"0","","0","Delete Books API","1","0","Delete book","0"
"0","","0","Update Books API","1","0","Update book - incorrect timestamp","0"
"0","","0","Add Books API","1","0","Add new book - wrong pagecount","0"
"0","","0","Get Books API","1","0","Get book list","0"
"0","","0","Get Books API","1","0","Get book by non existing ID","0"
"0","","1","Add Books API","0","0","Add new book - lacking title parameter in body","0"
"0","","0","Update Books API","1","0","Update book - weird ascii characters in title","0"
"0","","1","Add Books API","0","0","Add new book - existing id","0"
"0","","0","Get Books API","1","0","Get book by ID","0"
"0","","0","Update Books API","1","0","Update book","0"
"0","","0","Update Books API","1","0","Update book - empty payload","0"
"0","","0","Get Books API","1","0","Get book by ID in query param instead of path param","0"
"0","","1","Delete Books API","0","0","Delete book - non-existing id","0"
"0","","0","Add Books API","1","0","Add new book - incorrect timestamp","0"
"0","","0","Add Books API","1","0","Add new book - wrong method","0"
"0","","1","Update Books API","0","0","Update book - non-existing id","0"
"0","","0","Add Books API","1","0","Add new book","0"
"0","","1","Update Books API","0","0","Update book - negative pagecount","0"
