"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","280","Get author by non existing ID","","Mon Aug 04 15:35:43 GMT 2025","passed","Mon Aug 04 15:35:43 GMT 2025","","tests.authors.GetAuthorsTests","tests.authors.GetAuthorsTests","getAuthorByNonExistingId"
"","263","Update a book - invalid page count format","","Mon Aug 04 15:35:47 GMT 2025","passed","Mon Aug 04 15:35:48 GMT 2025","","tests.books.UpdateBookTests","tests.books.UpdateBookTests","updateBookWithInvalidPageCountFormat"
"","266","Delete an author","","Mon Aug 04 15:35:42 GMT 2025","passed","Mon Aug 04 15:35:43 GMT 2025","","tests.authors.DeleteAuthorTests","tests.authors.DeleteAuthorTests","deleteBook"
"","270","Delete an author with non existing ID","","Mon Aug 04 15:35:42 GMT 2025","failed","Mon Aug 04 15:35:42 GMT 2025","","tests.authors.DeleteAuthorTests","tests.authors.DeleteAuthorTests","deleteAuthorWithNonExistingId"
"","279","Add new book - invalid method","","Mon Aug 04 15:35:40 GMT 2025","passed","Mon Aug 04 15:35:40 GMT 2025","","tests.authors.AddAuthorTests","tests.authors.AddAuthorTests","addNewBookInvalidMethod"
"","287","Update a book - weird ascii characters in title","","Mon Aug 04 15:35:47 GMT 2025","passed","Mon Aug 04 15:35:47 GMT 2025","","tests.books.UpdateBookTests","tests.books.UpdateBookTests","updateBookWithWeirdAsciiCharactersInTitle"
"","286","Add an author with existing id","","Mon Aug 04 15:35:41 GMT 2025","failed","Mon Aug 04 15:35:41 GMT 2025","","tests.authors.AddAuthorTests","tests.authors.AddAuthorTests","addNewAuthorWithExistingId"
"","282","Get book by null ID","","Mon Aug 04 15:35:53 GMT 2025","passed","Mon Aug 04 15:35:54 GMT 2025","","tests.books.GetBookTests","tests.books.GetBookTests","getBookByNullId"
"","270","Get author by ID","","Mon Aug 04 15:35:43 GMT 2025","passed","Mon Aug 04 15:35:43 GMT 2025","","tests.authors.GetAuthorsTests","tests.authors.GetAuthorsTests","getAuthorById"
"","275","Add new book - lacking title parameter in body","","Mon Aug 04 15:35:51 GMT 2025","failed","Mon Aug 04 15:35:52 GMT 2025","","tests.books.AddBookTests","tests.books.AddBookTests","addNewBookWithLackingTitle"
"","267","Update a book - negative page count","","Mon Aug 04 15:35:47 GMT 2025","failed","Mon Aug 04 15:35:47 GMT 2025","","tests.books.UpdateBookTests","tests.books.UpdateBookTests","updateBookWithNegativePageCount"
"","292","Add new author","","Mon Aug 04 15:35:40 GMT 2025","passed","Mon Aug 04 15:35:40 GMT 2025","","tests.authors.AddAuthorTests","tests.authors.AddAuthorTests","addNewAuthor"
"","294","Update a book - case sensitive title","","Mon Aug 04 15:35:46 GMT 2025","passed","Mon Aug 04 15:35:47 GMT 2025","","tests.books.UpdateBookTests","tests.books.UpdateBookTests","updateBookTitleCaseSensitiveCheck"
"","281","Delete an author with incorrect ID format","","Mon Aug 04 15:35:42 GMT 2025","passed","Mon Aug 04 15:35:42 GMT 2025","","tests.authors.DeleteAuthorTests","tests.authors.DeleteAuthorTests","deleteAuthorWithIncorrectIdFormat"
"","287","Get book by ID","","Mon Aug 04 15:35:52 GMT 2025","passed","Mon Aug 04 15:35:53 GMT 2025","","tests.books.GetBookTests","tests.books.GetBookTests","getBookById"
