"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 02 20:18:21 UTC 2025","Sat Aug 02 20:18:23 UTC 2025","2272","","Add Books API","","Add new book","","Add new book","  This feature tests the Books API /api/v1/Books/${id} for adding new books."
"failed","Sat Aug 02 20:18:24 UTC 2025","Sat Aug 02 20:18:24 UTC 2025","493","","Add Books API","","Add new book - lacking title parameter in body","","Add new book - lacking title parameter in body","  This feature tests the Books API /api/v1/Books/${id} for adding new books."
"passed","Sat Aug 02 20:18:30 UTC 2025","Sat Aug 02 20:18:31 UTC 2025","826","","Get Books API","","Get book by ID in query param instead of path param","","Get book by ID in query param instead of path param",""
"failed","Sat Aug 02 20:18:28 UTC 2025","Sat Aug 02 20:18:28 UTC 2025","468","","Delete Books API","","Delete book - non-existing id","","Delete book - non-existing id",""
"failed","Sat Aug 02 20:18:25 UTC 2025","Sat Aug 02 20:18:25 UTC 2025","507","","Add Books API","","Add new book - negative pagecount","","Add new book - negative pagecount","  This feature tests the Books API /api/v1/Books/${id} for adding new books."
"passed","Sat Aug 02 20:18:27 UTC 2025","Sat Aug 02 20:18:28 UTC 2025","513","","Delete Books API","","Delete book","","Delete book",""
"passed","Sat Aug 02 20:18:27 UTC 2025","Sat Aug 02 20:18:27 UTC 2025","503","","Add Books API","","Add new book - incorrect timestamp","","Add new book - incorrect timestamp","  This feature tests the Books API /api/v1/Books/${id} for adding new books."
"passed","Sat Aug 02 20:18:37 UTC 2025","Sat Aug 02 20:18:38 UTC 2025","475","","Update Books API","","Update book - incorrect timestamp","","Update book - incorrect timestamp",""
"passed","Sat Aug 02 20:18:34 UTC 2025","Sat Aug 02 20:18:34 UTC 2025","475","","Update Books API","","Update book","","Update book",""
"failed","Sat Aug 02 20:18:35 UTC 2025","Sat Aug 02 20:18:35 UTC 2025","472","","Update Books API","","Add new book - lacking title parameter in body","","Add new book - lacking title parameter in body",""
"passed","Sat Aug 02 20:18:24 UTC 2025","Sat Aug 02 20:18:25 UTC 2025","498","","Add Books API","","Add new book - wrong pagecount","","Add new book - wrong pagecount","  This feature tests the Books API /api/v1/Books/${id} for adding new books."
"passed","Sat Aug 02 20:18:36 UTC 2025","Sat Aug 02 20:18:37 UTC 2025","470","","Update Books API","","Update book - wrong method","","Update book - wrong method",""
"passed","Sat Aug 02 20:18:32 UTC 2025","Sat Aug 02 20:18:32 UTC 2025","479","","Add Books API - Parametrized test example","","Add new book - parametrized test example","","Add new book - parametrized test example",""
"passed","Sat Aug 02 20:18:29 UTC 2025","Sat Aug 02 20:18:30 UTC 2025","490","","Get Books API","","Get book by ID","","Get book by ID",""
"failed","Sat Aug 02 20:18:33 UTC 2025","Sat Aug 02 20:18:34 UTC 2025","479","","Add Books API - Parametrized test example","","Add new book - parametrized test example","","Add new book - parametrized test example",""
"failed","Sat Aug 02 20:18:36 UTC 2025","Sat Aug 02 20:18:36 UTC 2025","476","","Update Books API","","Update book - negative pagecount","","Update book - negative pagecount",""
"passed","Sat Aug 02 20:18:35 UTC 2025","Sat Aug 02 20:18:36 UTC 2025","470","","Update Books API","","Update book - wrong pagecount","","Update book - wrong pagecount",""
"passed","Sat Aug 02 20:18:32 UTC 2025","Sat Aug 02 20:18:33 UTC 2025","486","","Add Books API - Parametrized test example","","Add new book - parametrized test example","","Add new book - parametrized test example",""
"passed","Sat Aug 02 20:18:38 UTC 2025","Sat Aug 02 20:18:38 UTC 2025","461","","Update Books API","","Update book - weird ascii characters in title","","Update book - weird ascii characters in title",""
"passed","Sat Aug 02 20:18:28 UTC 2025","Sat Aug 02 20:18:29 UTC 2025","484","","Delete Books API","","Delete book - incorrect id format","","Delete book - incorrect id format",""
"passed","Sat Aug 02 20:18:37 UTC 2025","Sat Aug 02 20:18:37 UTC 2025","480","","Update Books API","","Update book - incorrect id format","","Update book - incorrect id format",""
"passed","Sat Aug 02 20:18:25 UTC 2025","Sat Aug 02 20:18:26 UTC 2025","483","","Add Books API","","Add new book - wrong method","","Add new book - wrong method","  This feature tests the Books API /api/v1/Books/${id} for adding new books."
"failed","Sat Aug 02 20:18:23 UTC 2025","Sat Aug 02 20:18:24 UTC 2025","563","","Add Books API","","Add new book - empty payload","","Add new book - empty payload","  This feature tests the Books API /api/v1/Books/${id} for adding new books.
    This scenario fails beecause the API does not validate if the body is empty."
"passed","Sat Aug 02 20:18:31 UTC 2025","Sat Aug 02 20:18:32 UTC 2025","487","","Get Books API","","Get book by ID - sql injection","","Get book by ID - sql injection",""
"passed","Sat Aug 02 20:18:33 UTC 2025","Sat Aug 02 20:18:33 UTC 2025","478","","Add Books API - Parametrized test example","","Add new book - parametrized test example","","Add new book - parametrized test example",""
"failed","Sat Aug 02 20:18:26 UTC 2025","Sat Aug 02 20:18:26 UTC 2025","488","","Add Books API","","Add new book - existing id","","Add new book - existing id","  This feature tests the Books API /api/v1/Books/${id} for adding new books."
"passed","Sat Aug 02 20:18:26 UTC 2025","Sat Aug 02 20:18:27 UTC 2025","506","","Add Books API","","Add new book - incorrect id format","","Add new book - incorrect id format","  This feature tests the Books API /api/v1/Books/${id} for adding new books."
"passed","Sat Aug 02 20:18:34 UTC 2025","Sat Aug 02 20:18:35 UTC 2025","473","","Update Books API","","Update book - empty payload","","Update book - empty payload",""
"passed","Sat Aug 02 20:18:31 UTC 2025","Sat Aug 02 20:18:31 UTC 2025","507","","Get Books API","","Get book by non existing ID","","Get book by non existing ID",""
"failed","Sat Aug 02 20:18:37 UTC 2025","Sat Aug 02 20:18:37 UTC 2025","464","","Update Books API","","Update book - non-existing id","","Update book - non-existing id",""
"passed","Sat Aug 02 20:18:29 UTC 2025","Sat Aug 02 20:18:29 UTC 2025","864","","Get Books API","","Get book list","","Get book list",""
